step_id,task_name,op_type,predecessors,std_duration,time_variance,work_load_score,rework_prob,required_workers,required_tools,
S001,零件接收与登记,A,,25,5,5,0,0,,1
S002,超声波清洗,A,S001,25,5,5,0,0,,1
S003,高压清洗,A,S002,25,5,5,0,0,,
S004,检验包装,A,S003,25,5,5,0,0,,
P001,转子叶片安装,A,S004,30,5,5,0,1,,
P002,核心机总成,A,P001,30,5,5,0,1,,
P003,液压拉伸预紧螺栓,A,P002,30,5,5,0,1,,
P004,高频动平衡测试,A,P003,30,5,5,0,1,,
P011,密封环冷冻安装,A,P004,30,5,5,0,1,,
P012,陶瓷轴承预紧力设定,A,P011,30,5,5,0,1,,
P013,氦质谱检测,A,P012,30,5,5,0,0,,
P021,燃烧室壳体定位,A,P013,30,5,5,0,1,,
P022,燃烧室衬套安装,A,P021,30,5,5,0,1,,
P031,燃烧室壳体定位,A,P022,30,5,5,0,1,,
P032,燃烧室喷嘴安装,A,P031,30,5,5,0,1,,
P041,模块对接,A,P032,30,5,5,0,2,,
P042,热间隙补偿,A,P041,30,5,5,0,1,,
P051,涡轮盘装配,A,P042,30,5,5,0,1,,
P052,内窥镜检测,A,P051,30,5,5,0,1,,
P061,冷态旋转测试,A,P052,40,5,5,0,1,,
P062,氦质谱检测,A,P061,30,5,5,0,1,,
D001,涡轮盘安装,A,S004,30,5,5,0,1,,
D002,核心机总成,A,D001,30,5,5,0,1,,
D003,液压拉伸预紧螺栓,A,D002,30,5,5,0,1,,
D004,高频动平衡测试,A,D003,30,5,5,0,1,,
D011,模块对接,A,D004,30,5,5,0,1,,
D012,涡轮叶片安装,A,D011,30,5,5,0,1,,
D013,热间隙补偿,A,D012,30,5,5,0,0,,
D021,轴承安装,A,D013,40,5,5,0,1,,
D022,密封集成,A,D021,30,5,5,0,1,,
D031,动力涡轮总成,A,D022,40,5,5,0,0,,
D041,冷态旋转测试,A,D031,30,5,5,0,1,,
D042,氦质谱检测,A,D041,30,5,5,0,1,,
G001,壳体定位,A,S004,32,5,5,0,1,,
G002,壳体安装,A,G001,32,5,5,0,1,,
G011,齿轮装配,A,G002,32,5,5,0,1,,
G012,核心机总成,A,G011,32,5,5,0,1,,
G013,液压拉伸预紧螺栓,A,G012,32,5,5,0,1,,
G014,高频动平衡测试,A,G013,32,5,5,0,1,,
G021,螺旋桨轴安装,A,G014,32,5,5,0,1,,
G022,陶瓷轴承预紧力设定,A,G021,32,5,5,0,1,,
G023,氦质谱检测,A,G022,32,5,5,0,1,,
G031,轴承安装,A,G023,32,5,5,0,1,,
G032,密封集成,A,G031,32,5,5,0,1,,
G041,减速箱功能总成,A,G032,32,5,5,0,0,,
G051,冷态旋转测试,A,G041,38,5,5,0,1,,
G052,密封测试,A,G051,38,5,5,0,1,,
F001,齿轮箱体校准,A,S004,28,5,5,0,1,,
F002,箱体组装,A,F001,28,5,5,0,1,,
F003,液压拉伸预紧螺栓,A,F002,28,5,5,0,1,,
F004,高频动平衡测试,A,F003,28,5,5,0,1,,
F011,主动轴齿轮安装,A,F004,28,5,5,0,1,,
F012,陶瓷轴承预紧力设定,A,F011,28,5,5,0,1,,
F013,氦质谱检测,A,F012,28,5,5,0,0,,
F021,从动齿轮安装,A,F013,28,5,5,0,0,,
F031,轴承安装,A,F021,28,5,5,0,1,,
F032,密封集成,A,F031,28,5,5,0,1,,
F041,附件装配,A,F032,28,5,5,0,0,,
F051,齿轮啮合,A,F041,28,5,5,0,1,,
F052,内窥镜检测,A,F051,28,5,5,0,1,,
F061,冷态旋转测试,A,F052,28,5,5,0,1,,
F062,密封测试,A,F061,28,5,5,0,1,,
B001,燃油系统预装,A,,180,5,5,0,0,,
B002,燃油系统总装,A,B002,180,5,5,0,0,,
B011,滑油系统预装,A,,360,5,5,0,0,,
B021,气动系统预装,A,,360,5,5,0,0,,
B031,电气系统预装,A,,360,5,5,0,0,,
B041,控制系统预装,A,,360,5,5,0,0,,
A001,核心机与动力涡轮对接,A,P062;D042,98,5,5,0,0,,
A002,减速齿轮箱安装,A,A001;G052,97,5,5,0,0,,
A003,附件齿轮箱安装,A,A002;F062,97,5,5,0,0,,
A004,各子系统管路连接,A,A003,97,5,5,0,0,,
A005,外部附件安装,A,A004;B002;B011;B021;B031;B041,97,5,5,0,0,,
A006,整机气密测试,A,A005,97,5,5,0,0,,
A007,热试车准备,A,A006,97,5,5,0,0,,
Q001,热试车台,A,A007,135,5,5,0,0,,
Q002,性能数据采集,A,Q001,135,5,5,0,0,,
Q003,最终检验,A,Q002,135,5,5,0,0,,
Q004,包装与发运,A,Q003,135,5,5,0,0,,
